Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
DUPD1	DUSP27	ENSG00000188716	Dual specificity phosphatase and pro isomerase domain containing 1	10	76797594-76818272	Enzymes	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA042964	Uncertain			Tissue enriched	23	skeletal muscle: 39.6	prostate: 1.7
FGF19		ENSG00000162344	Fibroblast growth factor 19	11	69513000-69519410	Cancer-related genes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), RAS pathway related proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA036082	Uncertain			Tissue enriched	23	gallbladder: 169.3	small intestine: 7.2
FXYD7		ENSG00000221946	FXYD domain containing ion transport regulator 7	19	35634154-35645204	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA026916	Uncertain			Tissue enriched	23	cerebral cortex: 48.8	lymph node: 2.1
GAGE12C		ENSG00000237671	G antigen 12C	X	49296814-49304141		Evidence at transcript level	Evidence at transcript level	No evidence		HPA043232	Uncertain			Tissue enriched	23	testis: 8.3	stomach: 0.4
GAGE12H		ENSG00000224902	G antigen 12H	X	49344586-49351904		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA043232	Uncertain			Tissue enriched	23	testis: 8.4	stomach: 0.4
GPM6A	GPM6	ENSG00000150625	Glycoprotein M6A	4	176554085-176923815	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA017338	Uncertain			Tissue enriched	23	cerebral cortex: 542.3	lung: 23.2
GPX5		ENSG00000224586	Glutathione peroxidase 5 (epididymal androgen-related protein)	6	28493702-28502729	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	23	testis: 2.3	prostate: 0.1
LDHAL6A	LDH6A, MGC23940	ENSG00000166800	Lactate dehydrogenase A-like 6A	11	18477371-18501147	Enzymes, Plasma proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA043802	Uncertain			Tissue enriched	23	testis: 7.6	adrenal gland: 0.3
MARCH11	MARCH-XI	ENSG00000183654	Membrane-associated ring finger (C3HC4) 11	5	16067248-16180871	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	23	testis: 62.2	cerebral cortex: 2.7
OR4N4		ENSG00000183706	Olfactory receptor, family 4, subfamily N, member 4	15	22382382-22383507	G-protein coupled receptors, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA057442	Uncertain			Tissue enriched	23	testis: 4.0	cerebral cortex: 0.2
PSORS1C2	C6orf17, SPR1	ENSG00000204538	Psoriasis susceptibility 1 candidate 2	6	31105313-31107127	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA061228	Uncertain			Tissue enriched	23	skin: 45.1	tonsil: 2.0
RBM44	FLJ40411	ENSG00000177483	RNA binding motif protein 44	2	238707032-238751451	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA003298	Uncertain			Tissue enriched	23	testis: 19.5	bone marrow: 0.8
RP11-171N4.2		ENSG00000251283	Uncharacterized protein 	4	157555646-157563606		Evidence at transcript level	Evidence at transcript level							Tissue enriched	23	testis: 2.3	adipose tissue: 0.0
SPATA31A7	FAM75A7	ENSG00000234734	SPATA31 subfamily A, member 7	9	65503363-65509610	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	23	testis: 2.3	adipose tissue: 0.0
TBATA	C10orf27, FLJ32820, spatial	ENSG00000166220	Thymus, brain and testes associated	10	72530995-72545157		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA040089	Uncertain			Tissue enriched	23	testis: 16.1	spleen: 0.7
WFDC11	WAP11	ENSG00000180083	WAP four-disulfide core domain 11	20	44277202-44298909	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA057230	Uncertain			Tissue enriched	23	testis: 2.3	skin: 0.1
AC083862.1		ENSG00000229974	Uncharacterized protein 	7	134832797-134832916		Evidence at transcript level	Evidence at transcript level			HPA055075	Uncertain			Tissue enriched	22	gallbladder: 489.2	salivary gland: 22.0
ACOT12	Cach, STARD15, THEAL	ENSG00000172497	Acyl-CoA thioesterase 12	5	80625824-80689998	Enzymes, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA037723, HPA037724	Supportive			Tissue enriched	22	liver: 54.0	kidney: 2.5
ANKRD33	C12orf7, DKFZp686O1689, PANKY	ENSG00000167612	Ankyrin repeat domain 33	12	52281744-52285448		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA040013, HPA058753	Uncertain			Tissue enriched	22	placenta: 3.7	testis: 0.2
BARHL2		ENSG00000143032	BarH-like homeobox 2	1	91177096-91182794	Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA028176, HPA031326	Uncertain	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	22	testis: 2.2	adipose tissue: 0.0
CACNG3		ENSG00000006116	Calcium channel, voltage-dependent, gamma subunit 3	16	24266874-24374122	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA059010	Uncertain			Tissue enriched	22	cerebral cortex: 24.1	adrenal gland: 1.1
CDRT1		ENSG00000181464	CMT duplicated region transcript 1; Uncharacterized protein 	17	15468797-15469590		Evidence at protein level	Evidence at protein level			HPA047457, HPA052491	Uncertain			Tissue enriched	22	testis: 4.9	thyroid gland: 0.2
CLCN1	ClC-1, CLC1	ENSG00000188037	Chloride channel, voltage-sensitive 1	7	143013219-143049176	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	22	skeletal muscle: 25.5	esophagus: 1.2
CMTM2	CKLFSF2, FLJ25732, MGC39436	ENSG00000140932	CKLF-like MARVEL transmembrane domain containing 2	16	66613351-66622178	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA014719, HPA014741	Supportive	Supportive	Nucleus but not nucleoli	Tissue enriched	22	testis: 359.1	spleen: 16.2
CSN2	CASB	ENSG00000135222	Casein beta	4	70820974-70826725	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA041036	Uncertain			Tissue enriched	22	salivary gland: 3.4	smooth muscle: 0.2
DHH	HHG-3, MGC35145	ENSG00000139549	Desert hedgehog	12	49483204-49488602	Disease related genes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB034386	Uncertain			Tissue enriched	22	testis: 12.2	appendix: 0.6
ERVW-1	ERVWE1, HERV-7q, HERV-W, HERV-W-ENV, HERVW	ENSG00000242950	Endogenous retrovirus group W, member 1	7	92097694-92107300	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	22	placenta: 173.3	testis: 7.7
FBXO39	Fbx39, MGC35179	ENSG00000177294	F-box protein 39	17	6679542-6700420	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	22	testis: 25.9	skin: 1.2
FEM1A		ENSG00000141965	Fem-1 homolog a (C. elegans)	19	4791728-4795571	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA016565	Uncertain			Tissue enriched	22	skeletal muscle: 111.3	prostate: 5.0
FTHL17	CT38	ENSG00000132446	Ferritin, heavy polypeptide-like 17	X	31089360-31090170		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	22	testis: 2.2	adipose tissue: 0.0
GAGE12E		ENSG00000216649	G antigen 12E	X	49315936-49323252		Evidence at transcript level	Evidence at transcript level	No evidence		HPA043232	Uncertain			Tissue enriched	22	testis: 8.0	stomach: 0.4
GAGE12J	GAGE11	ENSG00000224659	G antigen 12J	X	49178536-49185863		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA043232	Uncertain			Tissue enriched	22	testis: 13.5	stomach: 0.6
GYS2		ENSG00000111713	Glycogen synthase 2 (liver)	12	21689123-21757781	Cytoskeleton related proteins, Disease related genes, Enzymes, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039482	Uncertain			Tissue enriched	22	liver: 77.0	esophagus: 3.5
LDLRAD1		ENSG00000203985	Low density lipoprotein receptor class A domain containing 1	1	54474412-54483856	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA052489	Supportive			Tissue enriched	22	fallopian tube: 174.4	lung: 8.1
MS4A15		ENSG00000166961	Membrane-spanning 4-domains, subfamily A, member 15	11	60524426-60544205	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	22	lung: 49.3	small intestine: 2.3
NOX4	KOX, KOX-1	ENSG00000086991	NADPH oxidase 4	11	89057524-89322779	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA015475	Uncertain			Tissue enriched	22	kidney: 127.7	endometrium: 5.9
PRKAG3		ENSG00000115592	Protein kinase, AMP-activated, gamma 3 non-catalytic subunit	2	219687106-219696809	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	22	skeletal muscle: 38.8	prostate: 1.8
SIRPD	dJ576H24.4, PTPNS1L2	ENSG00000125900	Signal-regulatory protein delta	20	1514897-1539489	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA041338, HPA042663	Uncertain			Tissue enriched	22	testis: 34.8	appendix: 1.6
TEX26	C13orf26, MGC40178	ENSG00000175664	Testis expressed 26	13	31506840-31549639		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA040455, HPA040785	Uncertain			Tissue enriched	22	testis: 20.6	adrenal gland: 1.0
TMEM247		ENSG00000187600	Transmembrane protein 247	2	46656329-46711564	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	No evidence	Evidence at protein level	HPA049130	Uncertain			Tissue enriched	22	testis: 25.2	placenta: 1.2
TMEM30C	CDC50C	ENSG00000235156	Transmembrane protein 30C	3	99904531-99913035	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	22	testis: 2.2	lymph node: 0.1
TPPP2	C14orf8, p18, p25beta	ENSG00000179636	Tubulin polymerization-promoting protein family member 2	14	21492268-21504435	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004120	Uncertain			Tissue enriched	22	testis: 171.2	liver: 7.9
WDR88	PQWD	ENSG00000166359	WD repeat domain 88	19	33622996-33666701	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA041916	Uncertain			Tissue enriched	22	testis: 5.9	fallopian tube: 0.3
YBX2	CSDA3, MSY2	ENSG00000006047	Y box binding protein 2	17	7191571-7197934	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB012332, HPA053904, HPA056744	Supportive	Supportive	Nucleoli	Tissue enriched	22	testis: 306.4	duodenum: 13.9
ZNF729		ENSG00000196350	Zinc finger protein 729	19	22469210-22499978	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	22	testis: 2.2	cerebral cortex: 0.1
ACTRT1	AIP1, ARIP1, Arp-T1, KIAA0705	ENSG00000123165	Actin-related protein T1	X	127184943-127186382	Cytoskeleton related proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA003119	Uncertain			Tissue enriched	21	testis: 2.1	adipose tissue: 0.0
ATP6V1G2	ATP6G, ATP6G2, Em:AC004181.3, NG38, Vma10	ENSG00000213760	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2	6	31512239-31516204	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004616	Supportive			Tissue enriched	21	cerebral cortex: 151.0	adrenal gland: 7.1
C5	C5a, C5b, CPAMD4	ENSG00000106804	Complement component 5	9	123714616-123812554	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA029339	Uncertain			Tissue enriched	21	liver: 203.5	lung: 9.8
CDRT15		ENSG00000223510	CMT1A duplicated region transcript 15	17	14138990-14140179	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA055952	Uncertain			Tissue enriched	21	testis: 8.7	lymph node: 0.4
CGB2		ENSG00000104818	Chorionic gonadotropin, beta polypeptide 2	19	49535169-49536495	Predicted secreted proteins	Evidence at protein level	Evidence at protein level			HPA038925, HPA038934	Supportive	Supportive	Cytoplasm	Tissue enriched	21	placenta: 5.7	testis: 0.3
CT47B1	CT47.13	ENSG00000236446	Cancer/testis antigen family 47, member B1	X	120006457-120009779	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	No evidence	Evidence at protein level	HPA042483	Uncertain			Tissue enriched	21	testis: 2.1	adipose tissue: 0.0
EGFL6	MAEG	ENSG00000198759	EGF-like-domain, multiple 6	X	13587724-13651694	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA001838	Uncertain			Tissue enriched	21	placenta: 364.4	lung: 17.4
EPB42	MGC116735, MGC116737, PA	ENSG00000166947	Erythrocyte membrane protein band 4.2	15	43398423-43513481	Cytoskeleton related proteins, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040261	Uncertain			Tissue enriched	21	bone marrow: 61.5	adipose tissue: 2.9
GAGE12D		ENSG00000227488	G antigen 12D	X	49306370-49313697		Evidence at transcript level	Evidence at transcript level	No evidence		HPA043232	Uncertain			Tissue enriched	21	testis: 8.0	stomach: 0.4
GFI1B		ENSG00000165702	Growth factor independent 1B transcription repressor	9	135820932-135867083	Disease related genes, Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA007012	Uncertain			Tissue enriched	21	bone marrow: 21.8	testis: 1.0
ITIH4	H4P, IHRP, ITIHL1	ENSG00000055955	Inter-alpha-trypsin inhibitor heavy chain family, member 4	3	52846991-52865495	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001835, HPA003948, CAB016676	Supportive			Tissue enriched	21	liver: 1028.0	skeletal muscle: 49.5
